pais,desempleojuv,inverex,PBI,geseco,tugurio
Afganistán,11.15200043,119435105.7,1.189228128,3,70.69999695
África al sur del Sahara,6.484791635,29083524354,2.693404647,3.149122807,53.59901183
África al sur del Sahara (BIRF y la AIF),6.484791635,29083524354,2.693404647,3.149122807,53.59901183
África al sur del Sahara (excluido altos ingresos),6.484791635,28775859701,2.69295346,3.149122807,53.59901183
América Latina y el Caribe,7.873814768,2.09383e+11,1.632452835,3.395833333,20.75693371
América Latina y el Caribe (BIRF y la AIF),7.977830848,1.7383e+11,1.739419124,3.395833333,21.0040717
América Latina y el Caribe (excluido altos ingresos),8.047214518,1.58813e+11,1.628911603,3.395833333,19.91326725
Asia meridional,5.119796324,48656125367,6.373259043,3.305555556,37.65609474
Asia meridional (BIRF y la AIF),5.119796324,48656125367,6.373259043,3.305555556,37.65609474
Asia oriental y el Pacífico,3.733398635,5.99765e+11,4.744963086,3.202380952,26.39512073
Asia oriental y el Pacífico (BIRF y la AIF),3.809416136,3.11286e+11,6.52073885,3.202380952,26.39512073
Asia oriental y el Pacífico (excluido altos ingresos),3.792054989,3.11288e+11,6.520584706,3.202380952,26.39512073
avanzada del dividendo demográfico,5.009403463,5.15968e+11,5.407862308,3.444444444,22.0709942
Bangladesh,4.413000107,2421626238,7.31941263,3.666666667,47.20000076
Benin,1.470000029,194073683.2,6.697259461,3.833333333,58.79999924
BIRF y la AIF,5.468802594,6.47678e+11,4.872355355,3.219178082,30.9804534
Burkina Faso,4.690000057,268414907.9,6.604569068,3.666666667,57.09999847
Burundi,1.587000012,983747.125,1.609935421,2.666666667,47.70000076
Camboya,0.143000007,3212633447,7.469169207,4.166666667,45.09999847
Camerún,3.617000103,765092012.8,3.95551424,3.666666667,33.70000076
Chad,1.129999995,460890507.7,2.3740378,2.833333333,86.90000153
Comoras,8.079000473,5672348.129,3.642451147,2.833333333,68.40000153
"Congo, República del",20.61400032,4315250918,-4.805351558,2.666666667,47.79999924
"Congo, República Democrática del",4.451000214,1407563588,5.8211211,3.166666667,77.5
Côte d'Ivoire,3.292999983,620330654.4,6.89028432,3.666666667,60.09999847
Djibouti,26.18899918,1.7e+08,4.774416888,3,64.5
El mundo árabe,10.50233556,33766670547,2.363881228,2.633333333,31.0559253
Estados pequeos del Caribe,8.709369595,2835137647,1.438189433,3.3,33.47822884
Etiopía,2.318000078,3360419369,6.816147797,3.5,64.30000305
Frágiles y situaciones de conflicto afectados,6.553003529,23483594839,2.616584722,2.873563218,55.44652754
Gambia,9.475999832,81805006.6,7.234890333,2.333333333,27.10000038
Ghana,4.276000023,2989035000,6.200077681,3.333333333,30.39999962
Granada,,184005689,4.361440394,3.166666667,6
Guinea,4.982999802,352760000,6.358491927,3.5,50.09999847
Guinea-Bissau,5.981999874,20563818.22,1.283736703,2.666666667,74.40000153
Guyana,14.02000046,1180405596,4.441013589,3.5,31.10000038
Haití,13.85999966,1.05e+08,1.667810955,3,65.90000153
Honduras,5.650000095,1442587576,3.84499477,3.666666667,38.59999847
Ingreso mediano,5.499236862,5.93474e+11,4.9124302,3.347222222,28.75149257
Ingreso mediano alto,5.772889076,4.55501e+11,4.941993001,3.196969697,22.46067609
Ingreso mediano y bajo,5.46236832,6.06279e+11,4.882897802,3.219178082,31.23917557
inicial del dividendo demográfico,5.636733013,2.23054e+11,3.796485312,3.310344828,31.72318483
