"pais","desempleo","obeadult","inftransito","gastoseduc","inverex","PBI"
"Afghanistan",11.15200043,5.5,34903,3.2,119435105.7,1.189228128
"Albania",12.30000019,21.7,3945,3.9,1204383364,4.019359685
"Algeria",10.42000008,27.4,104000,6.1,1466116068,1.1
"Angola",7.421000004,8.2,26000,1.8,-6456076413,-1.316312102
"Argentina",9.220000267,28.3,281290,4.8,11716769819,-2.617396463
"Armenia",18.96999931,20.2,7700,2.7,266855048.8,5.2
"Australia",5.300000191,29,873573,5.1,61324623203,2.87097248
"Austria",4.849999905,20.1,137039,5.2,-28605757320,2.501595119
"Azerbaijan",4.900000095,19.9,24981,2.7,1402998000,1.5
"Bahamas",10,31.6,2700,2.5,491404689.2,1.831007794
"Bahrain",1.200999975,29.8,4122,2.3,111170212.8,2.111130473
"Bangladesh",4.413000107,3.6,369105,1.3,2421626238,7.31941263
"Barbados",8.319999695,23.1,1700,4.3,241596499.9,-1.027139116
"Belarus",4.760000229,24.5,86600,5,1426500000,3.149197594
"Belgium",5.949999809,22.1,118414,6.4,-41601387267,1.843899686
"Belize",6.644000053,24.1,3281,7.9,122041647,2.044703177
"Benin",1.470000029,9.6,16000,3,194073683.2,6.697259461
"Bhutan",2.444000006,6.4,12205,6.9,2649454.311,3.055129837
"Bolivia",3.519999981,20.2,90568,7.3,302368781.4,4.223623653
"Bosnia and Herzegovina",18.39999962,17.9,22926,1.3,601783317.1,3.740072968
"Botswana",22.07099915,18.9,31747,6.9,285955061.9,3.98039539
"Brazil",12.32999992,22.1,2000000,6.1,78162724370,1.783666761
"Brunei",8.699999809,14.1,2976,4.4,516202620.6,0.052237791
"Bulgaria",5.210000038,25,19512,4.1,1809860000,2.684576131
"Burkina Faso",4.690000057,5.6,15304,5.8,268414907.9,6.604569068
"Burundi",1.587000012,5.4,12322,5.1,983747.125,1.609935421
"Cabo Verde",12.17000008,11.8,1350,4.7,102763598.2,4.531161684
"Cambodia",0.143000007,3.9,47263,2.2,3212633447,7.469169207
"Cameroon",3.617000103,11.4,77589,3.1,765092012.8,3.95551424
"Canada",5.829999924,29.4,1042300,5.3,42603762049,2.777040554
"Central African Republic",5.605000019,7.5,24000,1.8,18003535.46,3.789443593
"Chad",1.129999995,6.1,40000,2.4,460890507.7,2.3740378
"Chile",7.230000019,28,77801,5.4,7759647365,3.990029478
"China",4.28000021,6.2,5200000,3.5,2.35e+11,6.749773832
"Colombia",9.109999657,22.3,205379,4.5,11298692774,2.564324283
"Comoros",8.079000473,7.8,880,2.5,5672348.129,3.642451147
"Congodemocraticrepublicof",4.451000214,6.7,152373,1.5,1407563588,5.8211211
"CongoRepublicof",20.61400032,9.6,23324,3.9,4315250918,-4.805351558
"Costa Rica",9.630000114,25.7,5035,6.7,3014543618,2.615904404
"Cote d'Ivoire",3.292999983,10.3,81996,3.7,620330654.4,6.89028432
"Croatia",8.430000305,24.4,26958,3.9,1319393496,2.900009599
"Cyprus",8.369999886,21.8,12901,5.8,-1110259659,5.692841724
"Czech",2.24000001,26,55744,4.3,8324668391,3.198656101
"Denmark",5.130000114,19.7,74558,7.8,8764023726,1.989537315
"Djibouti",26.18899918,13.5,2893,3.6,1.7e+08,4.774416888
"Dominican Republic",5.860000134,27.6,19705,4,2744500000,6.982527585
"Ecuador",3.529999971,19.9,43950,4.1,1388896763,1.289291933
"Egypt",9.819999695,32,65050,3.9,8141300000,5.314121037
"Estonia",5.369999886,21.2,58412,5.2,1232538894,4.133819798
"Eswatini",22.79199982,16.5,3769,5.3,31130826.66,2.382964423
"Ethiopia",2.318000078,4.5,120171,5.1,3360419369,6.816147797
"Fiji",4.333000183,30.2,3440,5.1,468861002.9,3.812351222
"Finland",7.360000134,22.2,454000,6.3,-10571698825,1.141947509
"France",9.020000458,21.6,1053215,5.4,77493098693,1.865066071
"Gabon",20.74900055,15,14300,2.8,1379070816,0.837916581
"Gambia",9.475999832,10.3,2977,2.9,81805006.6,7.234890333
"Georgia",12.67000008,21.7,20295,3.8,1270488181,4.842919885
"Germany",3.380000114,22.3,625000,5,1.67e+11,1.086024514
"Ghana",4.276000023,10.9,65725,4,2989035000,6.200077681
"Greece",19.29000092,24.9,117000,3.6,4025447789,1.668428636
"Guatemala",2.279999971,21.2,17440,3.3,922397870,3.322097997
"Guinea",4.982999802,7.7,44301,2.2,352760000,6.358491927
"Guinea-Bissau",5.981999874,9.5,4400,2.9,20563818.22,1.283736703
"Guyana",14.02000046,20.2,3995,4.5,1180405596,4.441013589
"Haiti",13.85999966,22.7,4102,1.7,1.05e+08,1.667810955
"Honduras",5.650000095,21.4,14742,4.9,1442587576,3.84499477
"Hungary",3.710000038,26.4,203601,4.6,-64364899191,5.359496489
"Iceland",2.700000048,21.9,12898,7.6,-622718386.3,4.892180731
"India",5.329999924,3.9,6371847,3.5,42117450737,6.453851345
"Indonesia",4.400000095,6.9,496607,2.8,18909826044,5.17429154
