pais,inverex,PBI,desempleojuv,transito,obeadult,gastoseduc
Afghanistan,119435105.7,1.189228128,11.15200043,34903,5.5,3.2
Albania,1204383364,4.019359685,12.30000019,3945,21.7,3.9
Algeria,1466116068,1.1,10.42000008,104000,27.4,6.1
Angola,-6456076413,-1.316312102,7.421000004,26000,8.2,1.8
Argentina,11716769819,-2.617396463,9.220000267,281290,28.3,4.8
Armenia,266855048.8,5.2,18.96999931,7700,20.2,2.7
Australia,61324623203,2.87097248,5.300000191,873573,29,5.1
Austria,-28605757320,2.501595119,4.849999905,137039,20.1,5.2
Azerbaijan,1402998000,1.5,4.900000095,24981,19.9,2.7
Bahamas,491404689.2,1.831007794,10,2700,31.6,2.5
Bahrain,111170212.8,2.111130473,1.200999975,4122,29.8,2.3
Bangladesh,2421626238,7.31941263,4.413000107,369105,3.6,1.3
Barbados,241596499.9,-1.027139116,8.319999695,1700,23.1,4.3
Belarus,1426500000,3.149197594,4.760000229,86600,24.5,5
Belgium,-41601387267,1.843899686,5.949999809,118414,22.1,6.4
Belize,122041647,2.044703177,6.644000053,3281,24.1,7.9
Benin,194073683.2,6.697259461,1.470000029,16000,9.6,3
Bhutan,2649454.311,3.055129837,2.444000006,12205,6.4,6.9
Bolivia,302368781.4,4.223623653,3.519999981,90568,20.2,7.3
Bosnia and Herzegovina,601783317.1,3.740072968,18.39999962,22926,17.9,1.3
Botswana,285955061.9,3.98039539,22.07099915,31747,18.9,6.9
Brazil,78162724370,1.783666761,12.32999992,2000000,22.1,6.1
Brunei,516202620.6,0.052237791,8.699999809,2976,14.1,4.4
Bulgaria,1809860000,2.684576131,5.210000038,19512,25,4.1
Burkina Faso,268414907.9,6.604569068,4.690000057,15304,5.6,5.8
Burundi,983747.125,1.609935421,1.587000012,12322,5.4,5.1
Cabo Verde,102763598.2,4.531161684,12.17000008,1350,11.8,4.7
Cambodia,3212633447,7.469169207,0.143000007,47263,3.9,2.2
Cameroon,765092012.8,3.95551424,3.617000103,77589,11.4,3.1
Canada,42603762049,2.777040554,5.829999924,1042300,29.4,5.3
Central African Republic,18003535.46,3.789443593,5.605000019,24000,7.5,1.8
Chad,460890507.7,2.3740378,1.129999995,40000,6.1,2.4
Chile,7759647365,3.990029478,7.230000019,77801,28,5.4
China,2.35e+11,6.749773832,4.28000021,5200000,6.2,3.5
Colombia,11298692774,2.564324283,9.109999657,205379,22.3,4.5
Comoros,5672348.129,3.642451147,8.079000473,880,7.8,2.5
Congodemocraticrepublicof,1407563588,5.8211211,4.451000214,152373,6.7,1.5
CongoRepublicof,4315250918,-4.805351558,20.61400032,23324,9.6,3.9
Costa Rica,3014543618,2.615904404,9.630000114,5035,25.7,6.7
Cote d'Ivoire,620330654.4,6.89028432,3.292999983,81996,10.3,3.7
Croatia,1319393496,2.900009599,8.430000305,26958,24.4,3.9
Cyprus,-1110259659,5.692841724,8.369999886,12901,21.8,5.8
Czech,8324668391,3.198656101,2.24000001,55744,26,4.3
Denmark,8764023726,1.989537315,5.130000114,74558,19.7,7.8
Djibouti,1.7e+08,4.774416888,26.18899918,2893,13.5,3.6
Dominican Republic,2744500000,6.982527585,5.860000134,19705,27.6,4
Ecuador,1388896763,1.289291933,3.529999971,43950,19.9,4.1
Egypt,8141300000,5.314121037,9.819999695,65050,32,3.9
Estonia,1232538894,4.133819798,5.369999886,58412,21.2,5.2
Eswatini,31130826.66,2.382964423,22.79199982,3769,16.5,5.3
Ethiopia,3360419369,6.816147797,2.318000078,120171,4.5,5.1
Fiji,468861002.9,3.812351222,4.333000183,3440,30.2,5.1
Finland,-10571698825,1.141947509,7.360000134,454000,22.2,6.3
France,77493098693,1.865066071,9.020000458,1053215,21.6,5.4
Gabon,1379070816,0.837916581,20.74900055,14300,15,2.8
Gambia,81805006.6,7.234890333,9.475999832,2977,10.3,2.9
Georgia,1270488181,4.842919885,12.67000008,20295,21.7,3.8
Germany,1.67e+11,1.086024514,3.380000114,625000,22.3,5
Ghana,2989035000,6.200077681,4.276000023,65725,10.9,4
Greece,4025447789,1.668428636,19.29000092,117000,24.9,3.6
Guatemala,922397870,3.322097997,2.279999971,17440,21.2,3.3
Guinea,352760000,6.358491927,4.982999802,44301,7.7,2.2
Guinea-Bissau,20563818.22,1.283736703,5.981999874,4400,9.5,2.9
Guyana,1180405596,4.441013589,14.02000046,3995,20.2,4.5
Haiti,1.05e+08,1.667810955,13.85999966,4102,22.7,1.7
Honduras,1442587576,3.84499477,5.650000095,14742,21.4,4.9
Hungary,-64364899191,5.359496489,3.710000038,203601,26.4,4.6
Iceland,-622718386.3,4.892180731,2.700000048,12898,21.9,7.6
India,42117450737,6.453851345,5.329999924,6371847,3.9,3.5
Indonesia,18909826044,5.17429154,4.400000095,496607,6.9,2.8
Iran,2.373e+09,-2.253863607,12.18999958,223485,25.8,3.7
Ireland,67361732390,9.0301611,5.739999771,99830,25.3,3.4
Israel,21514500000,3.983424594,4,19555,26.1,6.2
Italy,44249715319,0.925810941,10.60999966,487700,19.9,4.3
Jamaica,774620603.1,1.889923681,9.100000381,22121,24.7,5.4
Japan,25289367858,0.584068067,2.400000095,1218772,4.3,3.2
Jordan,954929577.5,1.934091701,18.27000046,7203,35.5,3
Kazakhstan,353291554.6,4.1,4.849999905,96167,21,2.9
Kenya,767761506.7,5.647946407,4.249000072,161452,7.1,5.1
Korea,1953528.5,2.907403774,3.819999933,100428,4.7,4.5
Korea,12182600000,2.907403774,2.625999928,100428,4.7,4.5
Korea,12182600000,2.907403774,3.819999933,100428,4.7,4.5
Korea,1953528.5,2.907403774,2.625999928,100428,4.7,4.5
Kuwait,-21377568.82,2.433981268,2.164999962,5749,37.9,6.6
Kyrgyzstan,144222600,3.757910125,6.886000156,34000,16.6,5.4
Laos,1358019506,6.247960008,0.827000022,39586,5.3,2.9
Latvia,427807358.1,3.989480387,7.409999847,70244,23.6,4.2
Lebanon,2658003845,-1.884705474,10.79599953,21705,32,2.6
Lesotho,40874071.93,-1.223137311,22.81299973,5940,16.6,7.4
Liberia,129129754.8,1.157575122,3.029999971,10600,9.9,2.3
Lithuania,1299841764,3.993310328,6.150000095,84166,26.3,3.9
