name;slug;value;date_of_information;ranking;region
Afghanistan;afghanistan;3.2;2019 est.;138;South Asia
Albania;albania;3.9;2019 est.;105;Europe
Algeria;algeria;6.1;2019 est.;30;Africa
Andorra;andorra;3.2;2019 est.;139;Europe
Angola;angola;1.8;2019 est.;181;Africa
Anguilla;anguilla;3.6;2018 est.;115;Central America and the Caribbean
Antigua and Barbuda;antigua-and-barbuda;3.3;2020 est.;135;Central America and the Caribbean
Argentina;argentina;4.8;2019 est.;72;South America
Armenia;armenia;2.7;2020 est.;162;Middle East
Aruba;aruba;5.5;2016 est.;40;Central America and the Caribbean
Australia;australia;5.1;2018 est.;56;Australia and Oceania
Austria;austria;5.2;2018 est.;53;Europe
Azerbaijan;azerbaijan;2.7;2019 est.;163;Middle East
Bahamas;bahamas-the;2.5;2020 est.;167;Central America and the Caribbean
Bahrain;bahrain;2.3;2017 est.;172;Middle East
Bangladesh;bangladesh;1.3;2019 est.;186;South Asia
Barbados;barbados;4.3;2020 est.;89;Central America and the Caribbean
Belarus;belarus;5;2020 est.;62;Europe
Belgium;belgium;6.4;2018 est.;26;Europe
Belize;belize;7.9;2020 est.;11;Central America and the Caribbean
Benin;benin;3;2019 est.;149;Africa
Bosnia and Herzegovina;bermuda;1.3;2017 est.;187;North America
Bhutan;bhutan;6.9;2018 est.;20;South Asia
Bolivia;bolivia;7.3;2014 est.;17;South America
Botswana;botswana;6.9;2019 est.;21;Africa
Brazil;brazil;6.1;2018 est.;31;South America
BritishVirginIslands;british-virgin-islands;2.9;2019 est.;153;Central America and the Caribbean
Brunei ;brunei;4.4;2016 est.;86;East and Southeast Asia
Bulgaria;bulgaria;4.1;2017 est.;98;Europe
Burkina Faso;burkina-faso;5.8;2019 est.;36;Africa
Burma;burma;2;2019 est.;178;East and Southeast Asia
Burundi;burundi;5.1;2018 est.;57;Africa
Cabo Verde ;cabo-verde;4.7;2019 est.;74;Africa
Cambodia ;cambodia;2.2;2018 est.;175;East and Southeast Asia
Cameroon;cameroon;3.1;2019 est.;143;Africa
Canada;canada;5.3;2011 est.;48;North America
Central African Republic;central-african-republic;1.8;2019 est.;182;Africa
Chad;chad;2.4;2019 est.;171;Africa
Chile ;chile;5.4;2018 est.;41;South America
China;china;3.5;2018 est.;123;East and Southeast Asia
Colombia;colombia;4.5;2019 est.;82;South America
Comoros ;comoros;2.5;2015 est.;168;Africa
