name;slug;value;date_of_information;ranking;region
Afghanistan;afghanistan;34903;2017;92;South Asia
Albania;albania;3945;2018;156;Europe
Algeria;algeria;104000;2015;45;Africa
American Samoa;american-samoa;241;2016;205;Australia and Oceania
Andorra;andorra;320;2019;201;Europe
Angola;angola;26000;2018;102;Africa
Anguilla;anguilla;175;2004;209;Central America and the Caribbean
Antigua and Barbuda;antigua-and-barbuda;1170;2011;180;Central America and the Caribbean
Argentina;argentina;281290;2017;21;South America
Armenia;armenia;7700;2019;140;Middle East
Aruba;aruba;1000;2010;186;Central America and the Caribbean
Australia;australia;873573;2015;9;Australia and Oceania
Austria;austria;137039;2018;39;Europe
Azerbaijan;azerbaijan;24981;2013;104;Middle East
Bahamas;bahamas-the;2700;2011;167;Central America and the Caribbean
Bahrain;bahrain;4122;2010;152;Middle East
Bangladesh;bangladesh;369105;2018;20;South Asia
Barbados;barbados;1700;2015;173;Central America and the Caribbean
Belarus;belarus;86600;2017;55;Europe
Belgium;belgium;118414;2015;41;Europe
Belize;belize;3281;2017;160;Central America and the Caribbean
Benin;benin;16000;2006;120;Africa
Bermuda;bermuda;447;2010;197;North America
Bhutan;bhutan;12205;2017;132;South Asia
Bolivia;bolivia;90568;2017;53;South America
Bosnia and Herzegovina;bosnia-and-herzegovina;22926;2010;108;Europe
Botswana;botswana;31747;2017;94;Africa
Brazil;brazil;2000000;2018;4;South America
British Virgin Islands;british-virgin-islands;200;2007;207;Central America and the Caribbean
Brunei;brunei;2976;2014;163;East and Southeast Asia
Bulgaria;bulgaria;19512;2011;115;Europe
Burkina Faso;burkina-faso;15304;2014;123;Africa
Burma;burma;157000;2013;33;East and Southeast Asia
Burundi;burundi;12322;2016;130;Africa
Cabo Verde;cabo-verde;1350;2013;176;Africa
Cambodia;cambodia;47263;2013;83;East and Southeast Asia
Cameroon;cameroon;77589;2016;64;Africa
Canada;canada;1042300;2011;8;North America
Cayman Islands;cayman-islands;785;2007;189;Central America and the Caribbean
Central African Republic;central-african-republic;24000;2018;105;Africa
Chad;chad;40000;2018;88;Africa
Chile;chile;77801;2016;62;South America
China;china;5200000;2020;3;East and Southeast Asia
Christmas Island;christmas-island;142;2011;210;Australia and Oceania
Cocos Keeling Islands;cocos-keeling-islands;22;2007;221;Australia and Oceania
Colombia;colombia;205379;2019;26;South America
Comoros;comoros;880;2002;188;Africa
Congodemocraticrepublicof;congo-democratic-republic-of-the;152373;2015;34;Africa
CongoRepublicof;congo-republic-of-the;23324;2017;107;Africa
Cook Islands;cook-islands;295;2018;202;Australia and Oceania
Costa Rica;costa-rica;5035;2017;147;Central America and the Caribbean
Cote d'Ivoire;cote-divoire;81996;2007;60;Africa
Croatia;croatia;26958;2015;100;Europe
Cuba;cuba;60000;2015;75;Central America and the Caribbean
Curacao;curacao;550;;194;Central America and the Caribbean
Cyprus;cyprus;12901;2016;128;Europe
Czech;czechia;55744;2019;81;Europe
Denmark;denmark;74558;2017;65;Europe
Djibouti;djibouti;2893;2013;164;Africa
Dominica;dominica;1512;2018;174;Central America and the Caribbean
Dominican Republic;dominican-republic;19705;2002;113;Central America and the Caribbean
Ecuador;ecuador;43950;2022;86;South America
Egypt;egypt;65050;2018;73;Africa
El Salvador;el-salvador;9012;2017;138;Central America and the Caribbean
Equatorial Guinea;equatorial-guinea;2880;2017;165;Africa
Eritrea;eritrea;16000;2018;121;Africa
Estonia;estonia;58412;2011;78;Europe
Eswatini;eswatini;3769;2019;157;Africa
Ethiopia;ethiopia;120171;2018;40;Africa
Falkland Islands;falkland-islands-islas-malvinas;440;2008;198;South America
Faroe Islands;faroe-islands;960;2017;187;Europe
Fiji;fiji;3440;2011;159;Australia and Oceania
Finland;finland;454000;2012;17;Europe
France;france;1053215;2011;7;Europe
French Polynesia;french-polynesia;2590;1999;168;Australia and Oceania
Gabon;gabon;14300;2001;126;Africa
Gambia;gambia-the;2977;2011;162;Africa
Georgia;georgia;20295;2018;112;Middle East
Germany;germany;625000;2017;13;Europe
Ghana;ghana;65725;2021;72;Africa
Gibraltar;gibraltar;29;2007;220;Europe
Greece;greece;117000;2018;42;Europe
Grenada;grenada;1127;2017;182;Central America and the Caribbean
Guam;guam;1045;2008;185;Australia and Oceania
Guatemala;guatemala;17440;2020;118;Central America and the Caribbean
Guernsey;guernsey;260;2017;204;Europe
Guinea;guinea;44301;2018;84;Africa
