Data Source;Indicadores del desarrollo mundial;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64
#¡VALOR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated date;16/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#¡VALOR!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
Aruba;ABW;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#¡VALOR!;AFE;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.240740741;3.261111111;3.287037037;3.288888889;3.342592593;3.314814815;3.287037037;3.219298246;3.184210526;3.212962222;3.129629259;3.027777778;2.912280702;2.935185185;2.912280702;2.903508772;2.912280737;
Afghanistan;AFG;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.333333333;3.166666667;3.2;3.333333333;3;3;3;3;3;3;3;3;3;3;3;;
#¡VALOR!;AFW;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.324561404;3.326315789;3.421052632;3.436842105;3.425;3.441666667;3.508333333;3.533333333;3.516666667;3.45;3.4083335;3.333333333;3.35;3.341666667;3.35;3.383333333;3.39999995;
Angola;AGO;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.666666667;3;3;3;3;3;3;3;;;;;;;;;
Albania;ALB;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;
Andorra;AND;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Arab world;ARB;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2.906666667;2.9;2.94;2.866666667;2.9;2.833333333;2.933333333;2.966666667;2.966667333;2.899998667;2.833332667;2.555555556;2.633333333;2.527777778;2.472222222;2.416666833;
United Arab Emirates;ARE;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;ARG;Promedio grupal de gestión económica de la CPIA (1=bajo a 6=alto);IQ.CPA.ECON.XQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
