"","name","Desempleo","GastosEducacion","KMVia","ObesidadAdultos","LibertadCivil"
"1","Afghanistan",16.2,3.2,34903,5.5,NA
"2","Albania",27,3.9,3945,21.7,NA
"3","Algeria",39.3,6.1,104000,27.4,NA
"4","Angola",17.3,1.8,26000,8.2,NA
"5","Argentina",30.2,4.8,281290,28.3,NA
"6","Armenia",32.6,2.7,7700,20.2,NA
"7","Australia",14.3,5.1,873573,29,NA
"8","Austria",10.5,5.2,137039,20.1,NA
"9","Azerbaijan",12.4,2.7,24981,19.9,NA
"10","Bahamas, The",25.8,2.5,2700,31.6,NA
"11","Bahrain",5.3,2.3,4122,29.8,NA
"12","Bangladesh",12.8,1.3,369105,3.6,NA
"13","Barbados",26,4.3,1700,23.1,NA
"14","Belarus",12.4,5,86600,24.5,NA
"15","Belgium",15.3,6.4,118414,22.1,NA
"16","Belize",19.3,7.9,3281,24.1,NA
"17","Benin",3.9,3,16000,9.6,NA
"18","Bermuda",29.3,1.3,447,NA,NA
"19","Bhutan",10.7,6.9,12205,6.4,NA
"20","Bolivia",16.1,7.3,90568,20.2,NA
"21","Botswana",46.2,6.9,31747,18.9,NA
"22","Brazil",31.3,6.1,2e+06,22.1,NA
"23","Brunei",21.4,4.4,2976,14.1,NA
"24","Bulgaria",14.2,4.1,19512,25,NA
"25","Burkina Faso",8.6,5.8,15304,5.6,NA
"26","Burma",1.5,2,157000,5.8,NA
"27","Burundi",2.9,5.1,12322,5.4,NA
"28","Cabo Verde",50.4,4.7,1350,11.8,NA
"29","Cambodia",2.5,2.2,47263,3.9,NA
"30","Cameroon",6.3,3.1,77589,11.4,NA
"31","Canada",20.2,5.3,1042300,29.4,NA
"32","Chad",1.5,2.4,40000,6.1,NA
"33","Chile",24.9,5.4,77801,28,NA
"34","Colombia",25.8,4.5,205379,22.3,NA
"35","Comoros",19.5,2.5,880,7.8,NA
"36","Congo, Democratic Republic of the",8.7,1.5,152373,6.7,NA
"37","Costa Rica",40.7,6.7,5035,25.7,NA
"38","Cote d'Ivoire",5.5,3.7,81996,10.3,NA
"39","Croatia",21.1,3.9,26958,24.4,NA
"40","Curacao",29.3,4.9,550,NA,NA
"41","Cyprus",18.2,5.8,12901,21.8,NA
"42","Czechia",8,4.3,55744,26,NA
"43","Denmark",11.6,7.8,74558,19.7,NA
"44","Djibouti",73,3.6,2893,13.5,NA
"45","Dominican Republic",14.9,4,19705,27.6,NA
"46","Ecuador",11.1,4.1,43950,19.9,NA
"47","Egypt",19.2,3.9,65050,32,NA
"48","El Salvador",10,3.4,9012,24.6,NA
"49","Estonia",17.9,5.2,58412,21.2,NA
"50","Eswatini",47.1,5.3,3769,16.5,NA
"51","Ethiopia",3.5,5.1,120171,4.5,NA
"52","Fiji",15.4,5.1,3440,30.2,NA
"53","Finland",21.4,6.3,454000,22.2,NA
"54","France",20.2,5.4,1053215,21.6,NA
"55","Gambia, The",25.8,2.9,2977,10.3,NA
"56","Gaza Strip",42.1,5.3,NA,NA,NA
"57","Georgia",39.4,3.8,20295,21.7,NA
"58","Germany",7.2,5,625000,22.3,NA
"59","Ghana",9.1,4,65725,10.9,NA
"60","Greece",35,3.6,117000,24.9,NA
"61","Guatemala",4.6,3.3,17440,21.2,NA
"62","Guinea",7.1,2.2,44301,7.7,NA
"63","Guyana",26.5,4.5,3995,20.2,NA
"64","Honduras",17.8,4.9,14742,21.4,NA
"65","Hong Kong",15.5,4.4,2193,NA,NA
"66","Hungary",12.8,4.6,203601,26.4,NA
"67","Iceland",10,7.6,12898,21.9,NA
"68","India",19.8,3.5,6371847,3.9,NA
"69","Indonesia",14.8,2.8,496607,6.9,NA
"70","Iran",23.7,3.7,223485,25.8,NA
"71","Ireland",15.3,3.4,99830,25.3,NA
"72","Israel",7.9,6.2,19555,26.1,NA
"73","Italy",29.4,4.3,487700,19.9,NA
"74","Jamaica",20.6,5.4,22121,24.7,NA
"75","Japan",4.6,3.2,1218772,4.3,NA
"76","Jordan",37.3,3,7203,35.5,NA
"77","Kazakhstan",3.8,2.9,96167,21,NA
"78","Kenya",12.9,5.1,161452,7.1,NA
"79","Kiribati",22.5,12.4,670,46,NA
"80","Korea, South",10.3,4.5,100428,4.7,NA
"81","Kuwait",15.4,6.6,5749,37.9,NA
"82","Kyrgyzstan",9.6,5.4,34000,16.6,NA
"83","Laos",18.2,2.9,39586,5.3,NA
"84","Latvia",14.9,4.2,70244,23.6,NA
"85","Lebanon",23.4,2.6,21705,32,NA
"86","Lesotho",35.5,7.4,5940,16.6,NA
"87","Liberia",2.3,2.3,10600,9.9,NA
"88","Lithuania",19.6,3.9,84166,26.3,NA
"89","Luxembourg",23.2,3.7,2875,22.6,NA
"90","Macau",8.1,3.1,428,NA,NA
"91","Madagascar",3.4,2.9,31640,5.3,NA
"92","Malawi",8.5,2.9,15452,5.8,NA
"93","Malaysia",12,4.2,144403,15.6,NA
"94","Maldives",15.5,4.1,93,8.6,NA
"95","Mali",2.4,3.4,139107,8.6,NA
"96","Malta",10.7,4.7,3096,28.9,NA
"97","Marshall Islands",26,9.6,2028,52.9,NA
"98","Mauritania",21.1,1.9,12253,12.7,NA
"99","Mauritius",21.8,4.6,2428,10.8,NA
"100","Mexico",8.1,4.3,704884,28.9,NA
"101","Micronesia, Federated States of",18.9,9.7,NA,45.8,NA
"102","Moldova",10.9,6.1,9352,18.9,NA
"103","Monaco",26.7,1.2,NA,NA,NA
"104","Mongolia",17.9,4.9,113200,20.6,NA
"105","Mozambique",7.4,6.2,31083,7.2,NA
"106","Namibia",38,9.4,48875,17.2,NA
"107","Nepal",21.4,4.4,27990,4.1,NA
"108","Netherlands",9.1,5.4,139124,20.4,NA
"109","New Zealand",12.4,6,94000,30.8,NA
"110","Nicaragua",8.5,3.4,23897,23.7,NA
"111","Niger",16.6,3.5,18949,5.5,NA
"112","Norway",11.3,7.6,94902,23.1,NA
"113","Oman",13.7,5.4,60230,27,NA
"114","Pakistan",7.9,2.5,264175,8.6,NA
"115","Panama",40.1,3.1,NA,22.7,NA
"116","Paraguay",17.1,3.5,78811,20.3,NA
