name,slug,value,date_of_information,ranking,region
"Djibouti","djibouti","73.0","","1","Africa"
"South Africa","south-africa","59.4"," est.","2","Africa"
"French Polynesia","french-polynesia","56.7"," est.","3","Australia and Oceania"
"Cabo Verde","cabo-verde","50.4","","4","Africa"
"Kosovo","kosovo","49.7"," est.","5","Europe"
"Libya","libya","48.7"," est.","6","Africa"
"Eswatini","eswatini","47.1","","7","Africa"
"Botswana","botswana","46.2"," est.","8","Africa"
"Gaza Strip","gaza-strip","42.1"," est.","9","Middle East"
"West Bank","west-bank","42.1"," est.","10","Middle East"
"Costa Rica","costa-rica","40.7"," est.","11","Central America and the Caribbean"
"Panama","panama","40.1"," est.","12","Central America and the Caribbean"
"Georgia","georgia","39.4"," est.","13","Middle East"
"Algeria","algeria","39.3"," est.","14","Africa"
"South Sudan","south-sudan","38.6"," est.","15","Africa"
"New Caledonia","new-caledonia","38.4"," est.","16","Australia and Oceania"
"Spain","spain","38.3"," est.","17","Europe"
"Namibia","namibia","38.0"," est.","18","Africa"
"Jordan","jordan","37.3"," est.","19","Middle East"
"Saint Lucia","saint-lucia","37.2"," est.","20","Central America and the Caribbean"
"North Macedonia","north-macedonia","37.0"," est.","21","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","36.6"," est.","22","Europe"
"Montenegro","montenegro","36.0"," est.","23","Europe"
"Syria","syria","35.8"," est.","24","Middle East"
"Lesotho","lesotho","35.5"," est.","25","Africa"
"Greece","greece","35.0"," est.","26","Europe"
"Tunisia","tunisia","34.9"," est.","27","Africa"
"Uruguay","uruguay","33.5"," est.","28","South America"
"Armenia","armenia","32.6"," est.","29","Middle East"
"Sudan","sudan","32.6"," est.","30","Africa"
"Samoa","samoa","31.9"," est.","31","Australia and Oceania"
"Brazil","brazil","31.3"," est.","32","South America"
"Argentina","argentina","30.2"," est.","33","South America"
"Zambia","zambia","30.1"," est.","34","Africa"
"Guam","guam","29.4"," est.","35","Australia and Oceania"
"Italy","italy","29.4"," est.","36","Europe"
"Bermuda","bermuda","29.3"," est.","37","North America"
"Curacao","curacao","29.3"," est.","38","Central America and the Caribbean"
"Zimbabwe","zimbabwe","27.5"," est.","39","Africa"
"San Marino","san-marino","27.4"," est.","40","Europe"
"Saudi Arabia","saudi-arabia","27.2"," est.","41","Middle East"
"Albania","albania","27.0"," est.","42","Europe"
"Monaco","monaco","26.7"," est.","43","Europe"
"Serbia","serbia","26.7"," est.","44","Europe"
"Nauru","nauru","26.6","","45","Australia and Oceania"
"Puerto Rico","puerto-rico","26.6"," est.","46","Central America and the Caribbean"
"Guyana","guyana","26.5"," est.","47","South America"
"Suriname","suriname","26.5"," est.","48","South America"
"Barbados","barbados","26.0"," est.","49","Central America and the Caribbean"
"Marshall Islands","marshall-islands","26.0"," est.","50","Australia and Oceania"
"Bahamas, The","bahamas-the","25.8"," est.","51","Central America and the Caribbean"
"Colombia","colombia","25.8"," est.","52","South America"
"Gambia, The","gambia-the","25.8"," est.","53","Africa"
"Iraq","iraq","25.6","","54","Middle East"
"Turkey (Turkiye)","turkey-turkiye","25.1"," est.","55","Middle East"
"Chile","chile","24.9"," est.","56","South America"
"Yemen","yemen","24.5"," est.","57","Middle East"
"Sweden","sweden","24.0"," est.","58","Europe"
"Iran","iran","23.7"," est.","59","Middle East"
"Lebanon","lebanon","23.4","","60","Middle East"
"Luxembourg","luxembourg","23.2"," est.","61","Europe"
"Portugal","portugal","22.6"," est.","62","Europe"
"Kiribati","kiribati","22.5"," est.","63","Australia and Oceania"
"Morocco","morocco","22.2"," est.","64","Africa"
"Mauritius","mauritius","21.8"," est.","65","Africa"
"Brunei","brunei","21.4"," est.","66","East and Southeast Asia"
"Finland","finland","21.4"," est.","67","Europe"
"Nepal","nepal","21.4"," est.","68","South Asia"
"Croatia","croatia","21.1"," est.","69","Europe"
"Mauritania","mauritania","21.1"," est.","70","Africa"
"Sri Lanka","sri-lanka","21.1"," est.","71","South Asia"
"Sao Tome and Principe","sao-tome-and-principe","20.8"," est.","72","Africa"
