name,slug,value,date_of_information,ranking,region
"Kiribati","kiribati","12.4","2019 est.","1","Australia and Oceania"
"Greenland","greenland","10.6","2018 est.","2","North America"
"Solomon Islands","solomon-islands","10.1","2015 est.","3","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","9.7","2018 est.","4","Australia and Oceania"
"Marshall Islands","marshall-islands","9.6","2019 est.","5","Australia and Oceania"
"Namibia","namibia","9.4","2020 est.","6","Africa"
"Sierra Leone","sierra-leone","9.3","2020 est.","7","Africa"
"Montserrat","montserrat","9.1","2019 est.","8","Central America and the Caribbean"
"Faroe Islands","faroe-islands","8.2","2017 est.","9","Europe"
"Tonga","tonga","8.0","2019 est.","10","Australia and Oceania"
"Belize","belize","7.9","2020 est.","11","Central America and the Caribbean"
"Denmark","denmark","7.8","2017 est.","12","Europe"
"Iceland","iceland","7.6","2018 est.","13","Europe"
"Norway","norway","7.6","2018 est.","14","Europe"
"Sweden","sweden","7.6","2018 est.","15","Europe"
"Lesotho","lesotho","7.4","2020 est.","16","Africa"
"Bolivia","bolivia","7.3","2014 est.","17","South America"
"Tunisia","tunisia","7.3","2016 est.","18","Africa"
"Suriname","suriname","7.2","2019 est.","19","South America"
"Bhutan","bhutan","6.9","2018 est.","20","South Asia"
"Botswana","botswana","6.9","2019 est.","21","Africa"
"South Africa","south-africa","6.8","2020 est.","22","Africa"
"Timor-Leste","timor-leste","6.8","2018 est.","23","East and Southeast Asia"
"Costa Rica","costa-rica","6.7","2020 est.","24","Central America and the Caribbean"
"Kuwait","kuwait","6.6","2020 est.","25","Middle East"
"Belgium","belgium","6.4","2018 est.","26","Europe"
"Finland","finland","6.3","2018 est.","27","Europe"
"Israel","israel","6.2","2018 est.","28","Middle East"
"Mozambique","mozambique","6.2","2019 est.","29","Africa"
"Algeria","algeria","6.1","2019 est.","30","Africa"
"Brazil","brazil","6.1","2018 est.","31","South America"
"Moldova","moldova","6.1","2019 est.","32","Europe"
"Puerto Rico","puerto-rico","6.1","2014 est.","33","Central America and the Caribbean"
"New Zealand","new-zealand","6.0","2018 est.","34","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","5.9","2019 est.","35","Africa"
"Burkina Faso","burkina-faso","5.8","2019 est.","36","Africa"
"Cyprus","cyprus","5.8","2017 est.","37","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5.7","2018 est.","38","Central America and the Caribbean"
"Tajikistan","tajikistan","5.7","2019 est.","39","Central Asia"
"Aruba","aruba","5.5","2016 est.","40","Central America and the Caribbean"
"Chile","chile","5.4","2018 est.","41","South America"
"France","france","5.4","2018 est.","42","Europe"
"Jamaica","jamaica","5.4","2020 est.","43","Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","5.4","2019 est.","44","Central Asia"
"Netherlands","netherlands","5.4","2018 est.","45","Europe"
"Oman","oman","5.4","2019 est.","46","Middle East"
"Ukraine","ukraine","5.4","2019 est.","47","Europe"
"Canada","canada","5.3","2011 est.","48","North America"
"Eswatini","eswatini","5.3","2020 est.","49","Africa"
"Gaza Strip","gaza-strip","5.3","2018 est.","50","Middle East"
"Senegal","senegal","5.3","2019 est.","51","Africa"
"West Bank","west-bank","5.3","2018 est.","52","Middle East"
"Austria","austria","5.2","2018 est.","53","Europe"
"Estonia","estonia","5.2","2018 est.","54","Europe"
"United Kingdom","united-kingdom","5.2","2018 est.","55","Europe"
"Australia","australia","5.1","2018 est.","56","Australia and Oceania"
"Burundi","burundi","5.1","2018 est.","57","Africa"
"Ethiopia","ethiopia","5.1","2018 est.","58","Africa"
"Fiji","fiji","5.1","2019 est.","59","Australia and Oceania"
"Kenya","kenya","5.1","2020 est.","60","Africa"
"Uzbekistan","uzbekistan","5.1","2020 est.","61","Central Asia"
"Belarus","belarus","5.0","2020 est.","62","Europe"
"Dominica","dominica","5.0","2020 est.","63","Central America and the Caribbean"
"Germany","germany","5.0","2018 est.","64","Europe"
"Togo","togo","5.0","2019 est.","65","Africa"
"United States","united-states","5.0","2014 est.","66","North America"
"Curacao","curacao","4.9","2013 est.","67","Central America and the Caribbean"
"Honduras","honduras","4.9","2019 est.","68","Central America and the Caribbean"
"Mongolia","mongolia","4.9","2019 est.","69","East and Southeast Asia"
"Slovenia","slovenia","4.9","2018 est.","70","Europe"
"Switzerland","switzerland","4.9","2018 est.","71","Europe"
"Argentina","argentina","4.8","2019 est.","72","South America"
"Samoa","samoa","4.8","2020 est.","73","Australia and Oceania"
"Cabo Verde","cabo-verde","4.7","2019 est.","74","Africa"
"Malta","malta","4.7","2017 est.","75","Europe"
"Portugal","portugal","4.7","2018 est.","76","Europe"
"Russia","russia","4.7","2018 est.","77","Central Asia"
"Uruguay","uruguay","4.7","2019 est.","78","South America"
"Hungary","hungary","4.6","2018 est.","79","Europe"
"Mauritius","mauritius","4.6","2020 est.","80","Africa"
"Poland","poland","4.6","2018 est.","81","Europe"
"Colombia","colombia","4.5","2019 est.","82","South America"
"Guyana","guyana","4.5","2018 est.","83","South America"
"Korea, South","korea-south","4.5","2018 est.","84","East and Southeast Asia"
"Zambia","zambia","4.5","2019","85","Africa"
"Brunei","brunei","4.4","2016 est.","86","East and Southeast Asia"
"Hong Kong","hong-kong","4.4","2020 est.","87","East and Southeast Asia"
"Nepal","nepal","4.4","2018 est.","88","South Asia"
"Barbados","barbados","4.3","2020 est.","89","Central America and the Caribbean"
"Czechia","czechia","4.3","2018 est.","90","Europe"
"Italy","italy","4.3","2018 est.","91","Europe"
"Mexico","mexico","4.3","2018 est.","92","North America"
"Turkey (Turkiye)","turkey-turkiye","4.3","2018 est.","93","Middle East"
"Latvia","latvia","4.2","2018 est.","94","Europe"
"Malaysia","malaysia","4.2","2019 est.","95","East and Southeast Asia"
"Peru","peru","4.2","2020 est.","96","South America"
"Spain","spain","4.2","2018 est.","97","Europe"
"Bulgaria","bulgaria","4.1","2017 est.","98","Europe"
"Ecuador","ecuador","4.1","2020 est.","99","South America"
"Maldives","maldives","4.1","2019 est.","100","South Asia"
"Vietnam","vietnam","4.1","2019 est.","101","East and Southeast Asia"
"Dominican Republic","dominican-republic","4.0","2019 est.","102","Central America and the Caribbean"
"Ghana","ghana","4.0","2018 est.","103","Africa"
"Slovakia","slovakia","4.0","2018 est.","104","Europe"
"Albania","albania","3.9","2019 est.","105","Europe"
"Congo, Republic of the","congo-republic-of-the","3.9","2019 est.","106","Africa"
"Croatia","croatia","3.9","2017 est.","107","Europe"
"Egypt","egypt","3.9","2015 est.","108","Africa"
"Lithuania","lithuania","3.9","2018 est.","109","Europe"
"Seychelles","seychelles","3.9","2019 est.","110","Africa"
"Georgia","georgia","3.8","2020 est.","111","Middle East"
"Cote d'Ivoire","cote-divoire","3.7","2019 est.","112","Africa"
"Iran","iran","3.7","2019 est.","113","Middle East"
