name;slug;value;date_of_information;ranking;region
Afghanistan;afghanistan;5.5;2016;176;South Asia
Albania;albania;21.7;2016;85;Europe
Algeria;algeria;27.4;2016;38;Africa
Andorra;andorra;25.6;2016;49;Europe
Angola;angola;8.2;2016;154;Africa
Antigua and Barbuda;antigua-and-barbuda;18.9;2016;113;Central America and the Caribbean
Argentina;argentina;28.3;2016;30;South America
Armenia;armenia;20.2;2016;101;Middle East
Australia;australia;29;2016;27;Australia and Oceania
Austria;austria;20.1;2016;105;Europe
Azerbaijan;azerbaijan;19.9;2016;106;Middle East
Bahamas;bahamas-the;31.6;2016;21;Central America and the Caribbean
Bahrain;bahrain;29.8;2016;25;Middle East
Bangladesh;bangladesh;3.6;2016;191;South Asia
Barbados;barbados;23.1;2016;67;Central America and the Caribbean
Belarus;belarus;24.5;2016;58;Europe
Belgium;belgium;22.1;2016;81;Europe
Belize;belize;24.1;2016;60;Central America and the Caribbean
Benin;benin;9.6;2016;142;Africa
Bhutan;bhutan;6.4;2016;167;South Asia
Bolivia;bolivia;20.2;2016;102;South America
Bosnia and Herzegovina;bosnia-and-herzegovina;17.9;2016;118;Europe
Botswana;botswana;18.9;2016;114;Africa
Brazil;brazil;22.1;2016;82;South America
Brunei;brunei;14.1;2016;129;East and Southeast Asia
Bulgaria;bulgaria;25;2016;53;Europe
Burkina Faso;burkina-faso;5.6;2016;175;Africa
Burma;burma;5.8;2016;172;East and Southeast Asia
Burundi;burundi;5.4;2016;178;Africa
Cabo Verde;cabo-verde;11.8;2016;134;Africa
Cambodia;cambodia;3.9;2016;188;East and Southeast Asia
Cameroon;cameroon;11.4;2016;135;Africa
Canada;canada;29.4;2016;26;North America
Central African Republic;central-african-republic;7.5;2016;159;Africa
Chad;chad;6.1;2016;170;Africa
Chile;chile;28;2016;32;South America
China;china;6.2;2016;169;East and Southeast Asia
Colombia;colombia;22.3;2016;78;South America
Comoros;comoros;7.8;2016;157;Africa
Congodemocraticrepublicof;congo-democratic-republic-of-the;6.7;2016;164;Africa
CongoRepublicof;congo-republic-of-the;9.6;2016;143;Africa
Cook Islands;cook-islands;55.9;2016;2;Australia and Oceania
Costa Rica;costa-rica;25.7;2016;48;Central America and the Caribbean
Cote d'Ivoire;cote-divoire;10.3;2016;138;Africa
Croatia;croatia;24.4;2016;59;Europe
Cuba;cuba;24.6;2016;56;Central America and the Caribbean
Cyprus;cyprus;21.8;2016;84;Europe
Czech;czechia;26;2016;46;Europe
Denmark;denmark;19.7;2016;109;Europe
Djibouti;djibouti;13.5;2016;131;Africa
Dominica;dominica;27.9;2016;33;Central America and the Caribbean
Dominican Republic;dominican-republic;27.6;2016;37;Central America and the Caribbean
Ecuador;ecuador;19.9;2016;107;South America
Egypt;egypt;32;2016;18;Africa
El Salvador;el-salvador;24.6;2016;57;Central America and the Caribbean
Equatorial Guinea;equatorial-guinea;8;2016;156;Africa
Eritrea;eritrea;5;2016;183;Africa
Estonia;estonia;21.2;2016;92;Europe
Eswatini;eswatini;16.5;2016;124;Africa
Ethiopia;ethiopia;4.5;2016;185;Africa
Fiji;fiji;30.2;2016;24;Australia and Oceania
Finland;finland;22.2;2016;80;Europe
France;france;21.6;2016;87;Europe
Gabon;gabon;15;2016;127;Africa
Gambia;gambia-the;10.3;2016;139;Africa
Georgia;georgia;21.7;2016;86;Middle East
Germany;germany;22.3;2016;79;Europe
Ghana;ghana;10.9;2016;136;Africa
Greece;greece;24.9;2016;54;Europe
Grenada;grenada;21.3;2016;90;Central America and the Caribbean
Guatemala;guatemala;21.2;2016;93;Central America and the Caribbean
Guinea;guinea;7.7;2016;158;Africa
Guinea-Bissau;guinea-bissau;9.5;2016;144;Africa
Guyana;guyana;20.2;2016;103;South America
Haiti;haiti;22.7;2016;72;Central America and the Caribbean
Honduras;honduras;21.4;2016;89;Central America and the Caribbean
Hungary;hungary;26.4;2016;41;Europe
Iceland;iceland;21.9;2016;83;Europe
India;india;3.9;2016;189;South Asia
Indonesia;indonesia;6.9;2016;162;East and Southeast Asia
Iran;iran;25.8;2016;47;Middle East
Iraq;iraq;30.4;2016;23;Middle East
Ireland;ireland;25.3;2016;51;Europe
